"Year","2019","2020","2021","2022","2023","2024","2025","2026","2027","2028","2029","2030"
"ag287",0,0,0,0,0,0,0,7,7,7,7,7
"ag288",0,0,0,0,0,0,0,0,5,5,5,5
"ag289",0,0,0,0,0,0,0,0,0,0,0,18
"ag290",0,0,0,0,0,0,0,0,0,0,9,9
"ag291",0,0,0,0,0,0,0,0,0,0,10,10
"ag292",0,0,0,0,0,0,0,0,0,0,0,5
"ag293",0,0,0,0,0,0,0,0,0,14,14,14
"ag294",0,0,0,0,0,0,0,0,13,13,13,13
"ag295",0,0,0,0,0,0,0,0,0,0,7,7
"ag296",0,0,0,0,0,0,0,0,0,0,0,4
"ag297",0,0,0,0,0,0,0,0,0,0,9,9
"ag298",0,0,0,0,0,0,0,0,0,0,0,6
"ag299",0,0,0,0,0,0,0,0,11,11,11,11
