Year,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037
ag289,0,0,0,0,0,0,0,15,15,15,15,31,31,31,31,51,51,36,36,59
ag290,0,0,0,0,0,0,0,0,9,9,9,9,9,20,20,20,20,33,24,24
ag291,0,0,0,0,0,0,0,0,10,10,10,10,10,21,21,21,21,33,23,23
ag292,0,0,0,0,0,0,1,1,1,1,1,6,6,6,6,6,12,12,12,12
ag293,0,0,0,0,0,0,0,14,14,14,14,14,31,31,31,31,51,37,37,60
ag294,0,0,0,0,0,0,0,14,14,14,14,28,28,28,28,47,47,33,33,55
ag295,0,0,0,0,0,0,0,0,0,7,7,7,7,7,15,15,15,15,25,18
ag296,0,0,0,0,0,0,0,0,0,4,4,4,4,4,9,9,9,9,15,11
ag297,0,0,0,0,0,0,0,0,0,9,9,9,9,9,19,19,19,19,30,21
ag298,0,0,0,0,0,0,0,5,5,5,5,10,10,10,10,17,17,12,12,12
ag299,0,0,0,0,0,0,0,12,12,12,12,12,27,27,27,27,47,35,35,57
